Guid,Title,OtherTitle,Color,ReleaseYear,Duration,Mode,Comment,Published,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
389903a5-c071-4222-ba25-733ce5b9be7d,Baba Yaga,,C,2016,10,L,,True,,,,
389e3956-43df-4161-833e-8539c1f37c3a,Le avventure di Pinocchio,,BW,1936,60,A,,True,,,,
389f0097-ff53-4553-ba66-88a716195b3c,The Nutcracker and the Four Realms,,C,2018,99,L,https://letterboxd.com/film/the-nutcracker-and-the-four-realms/,True,,,,
38a0bf15-a566-44c7-a9b6-e23ed3898b97,Алые паруса,"Alye parusa, Scarlet Sails",C,1961,88,L,,True,,,,
38a4fade-bafc-42ec-a74a-b0f048f06d0f,The Seven Red Hoods,Taupes,C,2016,9,A,,True,,,,
38a81e74-155f-405f-8505-319cb8578180,Carovné kresadlo,,C,1990,77,L,,True,,,,
38abb82e-4069-4a76-85e6-f8dec6cc6104,Cinderella Frozen in Time,"Cinderella... Frozen in Time, Dorothy Hamill's Ice Capades: Cinderella... Frozen in Time",C,1994,60,L,"I'm not sure of the mode.
AM - confirming mode is live
Added additional info from https://www.tcm.com/tcmdb/title/461670/dorothy-hamills-ice-capades-cinderella-frozen-in-time#overview ",True,,,,
38baeb06-9cb4-4ee3-ab66-19806974203e,Bumbuku chagama,,BW,1932,7,U,,True,,,,
38bbccc4-55a1-4b5b-82ea-33614bc6a82d,Frau Holle,Mother Holly,BW,1906,2,U,https://letterboxd.com/film/frau-holle-1906/,True,,,,
38c9196d-0034-4fbd-a084-4bc43501f659,Das blaue Licht,"Simsala Grimm - Die Märchen der Brüder Grimm; The Blue Light, The Fairy Tales of the Brothers Grimm",C,2000,24,A,,True,,,,
38def6e9-ca53-403a-b5e6-4f8865926317,Le avventure di Pinocchio,The Adventures of Pinocchio,C,1947,100,L,,True,,,,
38e4ab9b-71bd-40b8-8863-e6df0cd2c0d2,The Son of the Sheik,,BW,1926,68,L,,True,,,,
391afb23-4266-4297-9bfa-d55e4d9e42ec,Sleeping Beauty,,C,2016,45,L,Black and white and colour,True,,,,
391c736e-feb5-4b73-b82d-15018e61cd84,Lumekuninganna,The Snow Queen,C,2010,99,L,,True,,,,
392729f2-9ef9-470c-8836-d750fea6020a,Doraemon: Nobita no Arabian naito,"Doraemon: Nobita no Dorabian Naito, Doraemon: Nobita's Dorabian Nights",C,1991,99,A,,True,,,,
39394eb8-3db3-4de0-9ca5-0b9f9d6780be,Sin-de-rel-la,Cinderella,C,2006,94,L,,True,,,,
393e2d52-f72f-468a-a42b-1ba00b515b50,Dragon Rider,Firedrake the Silver Dragon,C,2020,91,A,,True,,,,
394e1fc6-4d9c-4e0a-b369-4d97c14c901f,Yaaba,Grand’Mère,C,1989,90,L,,True,,,,
395324d8-d613-4ad0-9184-27dabbcef95a,Little Snow White,,BW,1927,,U,"Third release in the ""Grimm's Fairy Tales"" 3-reel series.",True,,,,
3955914a-e0c9-4138-a30a-23acfae53908,Aladdin,,C,1952,,L,"https://letterboxd.com/film/aladdin-1952/
https://sgfilmlocations.com/2014/09/23/aladdin-1952/
http://www.play4kcinema.live/titles/183605/aladdin",True,,,,
39587598-1969-4561-8c74-79f9fd4f59a0,Der Rattenfänger von Hameln,"Der Rattenfänger, The Ratcatcher of Hamelin, The Pied Piper",BW,1918,64,L,,True,,,,
396657bb-b3ea-4b31-93ce-ff0d75a2f371,The Prince Frog,Tom Terrific,BW,1957,,A,,True,,,,
39792591-de2e-4628-8bdb-e9066e2d5719,Cổ tích Việt Nam 19,Vietnamese Fairy Tales 19,C,2005,,L,"https://pnfilm.com.vn/ 

Origin(s): Three Boys (https://vietnamesefairytales.blogspot.com/2017/04/vn-fairy-tale-101.html) 

https://vi.wikipedia.org/wiki/C%E1%BB%95_t%C3%ADch_Vi%E1%BB%87t_Nam_(phim)
",True,,,,
3987f098-577d-426c-992f-4493246e5704,La fée,The Fairy,C,2011,93,L,I'm not sure of the origin.,True,,,,
398fa7e7-479a-43d4-8a98-5747bbf6868f,This Unnameable Little Broom,,C,1987,11,A,This seems to be based on the Epic of Gilgamesh - not sure how to list that.,True,,,,
3991ac04-b248-42bc-b743-4a7a4fc9b83e,The Wretched,,C,2019,95,L,https://en.wikipedia.org/wiki/The_Wretched_(film),True,,,,
399454fc-eac7-4e29-a76a-89c43df75d8d,Cổ tích Việt Nam 06,Vietnamese Fairy Tales 06,C,1995,,L,"https://pnfilm.com.vn/ 

Origin(s): The Tale of the Broom https://vietnamesefairytales.blogspot.com/2017/03/vn-fairy-tale-36.html

https://vi.wikipedia.org/wiki/C%E1%BB%95_t%C3%ADch_Vi%E1%BB%87t_Nam_(phim)",True,,,,
39947c13-4313-4a8c-a173-7a2bcd3dd2a3,King Kong Lives,,C,1986,105,L,,True,,,,
39953af0-b438-42a1-a4aa-718f1de936ef,Der Meisterdieb,"Simsala Grimm - Die Märchen der Brüder Grimm, The Master Thief, The Fairy Tales of the Brothers Grimm",C,1999,24,A,,True,,,,
39ab4547-35b0-4026-b527-95d7d89413cf,The Enchanted Cottage,,C,2016,87,L,,True,,,,
39ae43eb-0387-414b-8a11-b3ff0bc18bd3,Haladhar,The Woman,C,1991,,L,"https://letterboxd.com/film/haladhar/
https://en.wikipedia.org/wiki/Burhi_Aair_Sadhu ",True,,,,
39b32237-717e-4c73-ba38-47e9f7db797f,Vsadnik na zolotom kone,The Rider on the Golden Horse,C,1980,89,L,ES p. 331,True,,,,
39b991fb-e240-4d05-9b37-9dfa6ef7462e,Das blaue Licht,The Blue Light,C,2010,59,L,,True,,,,
39c71bbc-6991-4915-8ab0-99952d6c3217,Alice in Nephernalia,,C,2010,69,L,,True,,,,
39d454fd-7560-48c5-9743-77cff9f941b2,Alice in Wonderland,,C,2021,10,A,,True,,,,
39d5d069-afd1-4169-95eb-9feb087e7509,Peter Pan ist tot,,M,2011,30,L,"https://vimeo.com/88754869
http://www.isabellsuba.com/FILME?_x_tr_sl=de&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc&_x_tr_sch=http",True,,,,
39d5d63a-b08f-4b75-8162-20ceb48709a6,Casper Genie,,C,1954,7,A,,True,,,,
39f1f39d-2c3a-470d-bc67-517350c7664b,Jai Mahakali,Vikram Vaital,BW,1951,162,U,"https://en.wikipedia.org/wiki/Vetala_Panchavimshati ",True,,,,
3a00b4e1-d81d-40ac-b488-d8b2c5659f69,The Pied Piper,Mona the Vampire,C,2003,30,A,,True,,,,
3a135bb8-546b-4045-b94f-1c46a582e1f8,Hiss and Yell,,BW,1946,17,L,,True,,,,
3a13b65b-41df-4e49-b238-ac942a6d3510,Willy Wonka and the Chocolate Factory,Willy Wonka & the Chocolate Factory,C,1971,100,L,,True,,,,
3a14d834-f9d0-4167-8cbd-eb7f96d2c4fd,Bluebeard,,C,2012,11,L,,True,,,,
3a261694-4ab4-406b-8119-39433fa55d71,Yamata no Orochi no Gyakushu,,C,1985,72,U,,True,,,,
3a2d243e-1543-43ef-8ca2-306496f79b86,Märchen vom Orient,Arabian Fairy Tale,C,1933,69,A,"Giesen, Rolf, and J.P. Storm. 2012. Animation Under the Swastika: A History of Trickfilm in Nazi Germany, 1933-1945. Jefferson, North Carolina: McFarland & Company, Inc.
",True,,,,
3a34651a-c512-4de5-861e-09a469f645f6,Pinocchio,Fractured Fairy Tales,C,1961,,A,,True,,,,
3a4235c4-f048-45b8-a04f-ea878e28eb8f,Aladin et la lampe merveilleuse,"Aladdin and His Magic Lamp, Aladdin and his Marvelous Lamp, Aladdin and the Magic Lamp, Aladdin and the Magical Lamp, Aladdin et la lampe magique",C,1970,71,A,,True,,,,
3a4818c0-72b9-4078-93ab-019700f0cdbf,Ein Märchen,A Fairy Tale,C,1937,10,A,"Giesen, Rolf, and J.P. Storm. 2012. Animation Under the Swastika: A History of Trickfilm in Nazi Germany, 1933-1945. Jefferson, North Carolina: McFarland & Company, Inc.",True,,,,
3a499830-2e75-4cac-b925-50aa8cab523f,Cheonnyeonyeou Yeoubi,"Cheon-nyeon-yeo-woo-yeo-woo-bi, Yeoubi, the Five Tailed Fox, Yobi, the Five Tailed Fox",C,2007,86,A,,True,,,,
3a4c8b71-3388-4baa-8c92-288e500ee928,A Ride for Cinderella,,C,1937,9,A,"On IMDbb, Max Fleischer is credited only as the writer. Because he is named as the director in The Enchanted Screen, I've included him as the director as well.",True,,,,
3a5d0409-f258-4c5c-ae22-100c7c6c90d1,Farmer Tom Thumb,,BW,1940,,A,https://www.intanibase.com/iad_entries/entry.aspx?shortID=2689,True,,,,
3a60d9ad-2705-4d19-ad45-3a2f1fe55788,Zabí král,"The Frog Prince, The Frog King, Der Froschkönig",C,1991,90,L,,True,,,,
3a61ab79-8a55-48f1-b754-a06bb38e4f2a,The Little Match Girl,,C,1983,54,L,,True,,,,
3a681510-30f2-4cdb-aeb1-5569a14d33d8,A Bug's Life,,C,1998,95,A,,True,,,,
3a7c0107-020b-4d66-8f6a-7fe7f54f00ca,Issun bôshi,,C,1967,14,A,"https://en.wikipedia.org/wiki/Issun-b%C5%8Dshi
",True,,,,
3a849124-236e-4d8e-8c15-387757dab186,ParaNorman,,C,2012,92,A,,True,,,,
3a8a1b78-a5aa-406d-adae-b4f1756b35d4,The Adventures of Tom Thumb & Thumbelina,,C,2002,75,A,,True,,,,
3a921560-0452-4f87-a34d-8bf0126c3927,Raja Ko Rani Se Pyar Ho Gaya,The King has Fallen in Love with the Queen,C,2000,148,L,"Mohan credited as producer, but I couldn't add a single name entry; he also goes by R. Mohan so I've added this as his credentials
As well, Sharreth credited for background score (music) and I had the same issue as above",True,,,,
3aa7d1b2-08dc-46c9-ae5e-cdde49167b9a,Happiness,,C,1998,134,L,"From Jack Zipes' donation, box 6. ",True,,,,
3ab6c045-2e8f-4a48-adc9-b8942edf6df0,Gadmouse the Apprentice Good Fairy,,C,1965,7,A,"Gadmouse needs just one happy ending to earn his wand and become a fully-fledged Good Fairy
https://www.bcdb.com/cartoon/5094-Gadmouse-The-Apprentice-Good-Fairy
https://www.youtube.com/watch?v=BilmGuSVWMQ",True,,,,
3ac37f0b-b463-4ae2-8461-0e01e8a8c080,My Fair Lady,,C,1964,170,L,,True,,,,
3ac43e96-1807-4af1-bf66-aea21406d85b,Little Black Dress,,C,2009,,L,,True,,,,
3ac5525d-80ee-4b36-af61-8cc7ce300322,Muse,,C,2017,95,L,"https://en.wikipedia.org/wiki/Leanan_s%C3%ADdhe ",True,,,,
3acca71d-386e-477f-8faf-246584367197,Wish,,C,2023,92,A,,True,,,,
3ad2be26-cae0-48aa-8b7e-50eb73cb7a84,Xala,,C,1975,123,L,,True,,,,
3ad60083-86b8-471e-8b60-24fc82fbbaca,Goo Goo Goliath,"Looney Tunes Golden Collection, Vol. 6",C,1954,7,A,,True,,,,
