LinkId,FilmId,Guid,FilmGuid,Url
81,129,14eab02b-ddbb-43bb-96de-16828b561b18,a52d7011-4b74-43b4-abf0-a1cb7356f05e,http://www.imdb.com/title/tt0024882/
82,130,a1927668-246a-4f08-a567-40c4a67d51dd,fc69980a-4066-40c9-9e2f-ef0fe37a001f,http://www.imdb.com/title/tt0025665/
83,131,f0e68706-e2e3-4d3b-9bd5-a61af821582f,adb2598c-b442-489b-8204-d95b0371b814,http://www.imdb.com/title/tt0025405/
84,132,51af97af-91f4-4696-a9ae-eea1fdcc3c11,ed445e78-3808-4cd4-ab80-75e5e0718adf,http://www.imdb.com/title/tt0027353/
85,133,d7e95352-85fe-4583-8499-932497f5aae9,8f73a514-9c9b-4af0-abae-7a5c2b810a05,http://www.imdb.com/title/tt0034397/
86,134,54f20573-5905-47f6-bd12-b4140b06048a,4cc0c69c-809c-495c-a28a-e19bc58ef303,http://www.imdb.com/title/tt0148346/
87,135,5a212dd1-2650-4131-a0c1-6d96bb24ed5c,43c1e6ca-e888-4e30-b0ec-5a60a9ba61b6,http://www.imdb.com/title/tt0146507/
88,136,7c8a9c9d-67de-4263-bcb2-9acea52e2e6d,62e2c47f-8b80-4a91-82cb-332136365eec,http://www.imdb.com/title/tt0148647/
89,137,2b3f6d8b-0730-412e-a4d5-252a937fb91c,76f8e8a0-4acd-49fc-bcf8-e5eb66bb20d6,http://www.imdb.com/title/tt0146414/
90,138,f262bf45-7a4e-4ce7-8fe2-e2fd34a19472,225f981a-25df-4711-af07-54d61ae1ad10,http://www.imdb.com/title/tt0026135/
91,139,140f45cb-8a96-469e-8846-ff8a2c6da722,8dd4acc8-5698-4c7e-8bf5-d2c56ee7a341,http://www.imdb.com/title/tt0027002/
92,140,15ee6f22-ca4a-4abb-a412-6fe8e581f97c,2a13f0a9-dc06-4b51-9605-7e82be46fd40,http://www.imdb.com/title/tt0146460/
93,141,5132e53e-2722-432a-9cb0-34be6b65b201,305f1b28-73e2-436c-9f12-55a6bdb93085,http://www.imdb.com/title/tt0027270/
94,142,e1c2f1de-56d8-4d74-aa0b-76a2ebe32f4a,a4398cec-433d-4434-b242-31e2eec16067,http://www.imdb.com/title/tt0147615/
95,143,31cdf6c9-d6b9-4ce1-a27d-aff88bd8ef69,7df86a17-e17e-45bb-8df7-f094a4284ef1,http://www.imdb.com/title/tt0146624/
99,144,cc07584a-f291-4fd2-8ec1-df01e72dc404,374022ec-948d-4785-a592-94d45bb9d164,http://www.imdb.com/title/tt0038348/
103,123,16375ed2-f633-4d78-9139-e4b1be9ebbcc,34a1380f-2356-4c41-8009-8ea5e25fbebf,www.imdb.com/title/tt0024355/
106,80,b02d615b-d2bb-45de-8041-453f8913d4d6,bf214a17-ccda-4f79-81a6-bf2d62a6beb1,http://www.imdb.com/title/tt0024886/
108,82,6b0d17c4-ffae-4659-be93-4c6f6d0be36e,b52d35fd-bef3-4394-9cee-ec9091c64b51,http://www.imdb.com/title/tt0024451/
110,77,d081f190-b9b6-4c05-a854-93d03f470161,1e2244ef-18de-4f1c-8156-b333347e3cd7,www.imdb.com/title/tt0028368/
111,147,2ae56227-dee4-4f15-bb4f-64a60008b7ad,d7d3458e-13e4-4219-802e-cc1213471b49,http://www.imdb.com/title/tt0131934/
112,148,70988d5b-6be4-4f26-a4a9-1b025375cd31,34622cc6-f9ff-4177-8ef1-1c5e7dea2851,http://www.imdb.com/title/tt1800253/
113,149,c9bc199a-7d60-402f-bbc2-9ad108c42434,eb59c420-694c-4ceb-ae68-5ed0e95a8cab,http://www.imdb.com/title/tt0036653/
114,150,9570ec5b-69cb-4ab3-8959-281375f739f5,6df45edb-7781-4ef2-b1b5-e158176d6fb3,http://www.imdb.com/title/tt0056165/
115,151,d2d02639-27d1-4ffe-8219-628bb41d63fe,3748c3a3-e43e-439c-a780-69cb8f848ecc,http://www.imdb.com/title/tt0068294/
116,152,e9bb4921-2087-45a3-b095-c90ce4d1f675,9af26eb6-2775-4e23-978b-c89a4e628866,http://www.imdb.com/title/tt0012955/
117,171,d3c44b8c-540a-4a44-960b-7ec09f6394a8,4d1d5947-35eb-4863-ad39-f753c1fa5407,http://www.imdb.com/title/tt0120255
118,172,6019b64c-7b1f-4859-bb92-cc175635265a,d1544025-51c1-417f-9753-988695eaa43a,http://www.imdb.com/title/tt0165773
119,173,a2c10400-a008-481a-955d-1ad57508c62f,8c0e52ec-9a69-4f06-a755-d9d656e6dbc6,http://www.imdb.com/title/tt1275521/
121,174,ad0851be-07db-4c9e-9508-ab3d6fe6eda4,849e0291-82e7-4772-aea1-7b13332aa0af,http://www.nfb.ca/film/sleeping_betty
123,175,268620ab-a1ac-4ebe-bcd5-97f496fc6c2b,9de5efb9-994a-4017-9213-f93a7f21aa8b,http://www.nfb.ca/film/the_tender_tale_of_cinderella_penguin
131,185,189719e8-cdbc-4747-8204-2da277bd7feb,208f2c79-697c-4f83-a4be-47e635215bae,http://www.imdb.com/title/tt1486185/
132,187,08605d49-8d9c-4bf2-9964-c8408001f85d,ae88625b-79e5-4be1-aee6-74f4588ffac6,http://www.imdb.com/title/tt0854135/
139,195,cfc09718-19ce-44b9-b346-fb3cebf62461,92724331-9710-4632-ae56-a81e0b07afab,http://www.imdb.com/title/tt1092269/
140,196,28d784d4-32a7-4acf-832a-1d42bb7a352e,3be6efc0-23f2-4a11-a9f8-35b4dcdb6cd1,http://www.imdb.com/title/tt0290655/
141,197,0aee1098-9061-4a35-842d-93e65b833d84,e468a5a5-1b17-44a7-ba7e-9e8f1c09c045,http://www.imdb.com/title/tt1399282/
