FilmId,CompanyId,FilmGuid,CompanyGuid
116,61,00e08c10-9c66-4453-8184-550f5af074c6,f5abd06c-f258-4963-ab1f-5d8dbed3857e
117,62,5c16b60b-43d1-4600-8da2-eaa2c955f9f0,a12fbc44-67d8-4f60-b271-aa9088935bcb
119,62,e9cb636c-3810-4d41-b68d-381d457c2c75,a12fbc44-67d8-4f60-b271-aa9088935bcb
120,64,ed5e2d90-0ddb-4955-b471-abe1fda190c5,3764449d-67be-481a-9378-1d44f20c5e80
120,65,ed5e2d90-0ddb-4955-b471-abe1fda190c5,40b7988a-abe1-492d-b0a7-d0561d308dd3
121,66,01ec92cd-5372-4b7d-9756-e987225eea87,94b764d4-f0cf-44df-9a2f-ee5579fb90f1
123,67,8afa579f-c4b5-4388-89d8-500232f5a050,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
123,68,8afa579f-c4b5-4388-89d8-500232f5a050,19260171-6b53-4f93-978c-6613e65c682d
124,361,9071440b-518b-4d90-84fa-8c274607d025,a89ad2c4-847e-476b-9d2f-bd4448bfd0ec
126,67,5428ab76-3b63-409b-9dc5-e9c0e3551705,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
126,68,5428ab76-3b63-409b-9dc5-e9c0e3551705,19260171-6b53-4f93-978c-6613e65c682d
127,67,59e3dfd6-9018-41f1-800a-a5604a5a95e8,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
127,68,59e3dfd6-9018-41f1-800a-a5604a5a95e8,19260171-6b53-4f93-978c-6613e65c682d
128,67,00847e15-78f6-4437-bfa9-ddbc6ba00b3e,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
128,68,00847e15-78f6-4437-bfa9-ddbc6ba00b3e,19260171-6b53-4f93-978c-6613e65c682d
129,67,b88190e6-79f6-4b01-bf1d-2923d8bfe5ce,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
129,68,b88190e6-79f6-4b01-bf1d-2923d8bfe5ce,19260171-6b53-4f93-978c-6613e65c682d
130,67,b9e94db8-330d-4014-9bc0-5848426ca6fb,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
130,68,b9e94db8-330d-4014-9bc0-5848426ca6fb,19260171-6b53-4f93-978c-6613e65c682d
131,67,e5904739-d9ca-4d85-9c8c-fd602e444e9d,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
131,68,e5904739-d9ca-4d85-9c8c-fd602e444e9d,19260171-6b53-4f93-978c-6613e65c682d
132,67,670b647e-21f6-4194-a2b0-04fbc0ff6fe5,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
132,68,670b647e-21f6-4194-a2b0-04fbc0ff6fe5,19260171-6b53-4f93-978c-6613e65c682d
133,67,b40d0e48-afeb-42d0-bde0-e2756f74e395,0b79bb3a-7eb0-4703-8bc0-3a9808209d67
133,68,b40d0e48-afeb-42d0-bde0-e2756f74e395,19260171-6b53-4f93-978c-6613e65c682d
134,72,210b9528-e0ce-4645-9fd6-91890f69d746,7e0e3319-4951-4269-8cd8-6afe7812c7e3
135,72,cea4c695-7be0-4dc0-95e8-35b52c4116c5,7e0e3319-4951-4269-8cd8-6afe7812c7e3
136,72,4666d732-32b9-49ad-8aca-6229c8569d1c,7e0e3319-4951-4269-8cd8-6afe7812c7e3
137,72,9ccf0441-94fa-4895-8796-72ffc789b3ea,7e0e3319-4951-4269-8cd8-6afe7812c7e3
138,72,631c6d0e-a99b-4035-adcc-0034c93a7fce,7e0e3319-4951-4269-8cd8-6afe7812c7e3
139,72,dd1bfd18-a403-4f37-9dc7-694c2b9cdeb1,7e0e3319-4951-4269-8cd8-6afe7812c7e3
140,72,5f0a88fa-ab91-4314-9bdf-646e2aba30e9,7e0e3319-4951-4269-8cd8-6afe7812c7e3
