Guid,Title,Code,Author,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy
51bd35c3-a7e6-470a-a51c-9eded6d03730,The Faithless Wife,318,null,,,,
524570cc-5a32-46d8-a2b5-1f3ed7baa402,Decameron,null,Giovanni Boccaccio,,,,
529b3e1e-65ca-4450-b120-cf3dcec3f063,The Three Stolen Princesses,301,null,,,,
53543a80-426b-4983-804c-0e35bce0171a,Fool Ondal and Princess Pyeonggang,null,null,,,,
5388ccc6-fb1c-4762-8d2d-6b3316b0a2b1,Goldilocks and the Three Bears,null,null,,,,
5451141b-7c58-4049-9081-42fb6be8a52e,The System of Doctor Tarr and Professor Fether,null,Edgar Allan Poe,,,,
5457e420-c61b-41a5-8f33-2e01e353c04b,Skazka o zolotom petushke,null,Alexander Pushkin,,,,
546eea81-7340-4da4-9e97-d65e9c70226a,Regoč,null,Ivana Brlic-Mažuranic,,,,
5522b196-2206-477a-a45d-affab53bf86e,Saru Kani Gassen (The Crab and the Monkey),null,null,,,,
56902c2b-5f2a-4a90-ba11-1cd82da3f55a,The Treasure Finders Who Murder One Another,763,null,,,,
5718fb5e-ddef-4bb0-809e-d25198636262,The Star-Child,null,Oscar Wilde,,,,
5815883f-c406-499b-aaaa-e1fc454e76f8,Die fliegende Windmühle,null,Günter Feustel,,,,
5a8ab449-a26b-4b29-9cc5-b3f0479b44c7,Konjaku Monogatari,null,null,,,,
5a96650e-e164-417a-ba67-e071a51dea2e,"Spindle, Shuttle, and Needle",585,null,,,,
5add5078-22ee-4fe5-b3f7-bd54ff1f3381,Fortunée,null,Madame d'Aulnoy,,,,
5af64a9f-5bc3-4d23-858a-37d42f54a257,The Wizard of Oz,null,L. Frank Baum,,,,
5b76ef36-b4ea-43a1-abfb-cd34bda749e3,Die Schwarze Mühle,null,Jurij Brezan,,,,
5be117f0-61c4-4604-9ecd-b42b55b493d4,Q&A,null,Vikas Swarup,,,,
5c51afa6-d46a-40be-bfec-3951c5077731,The Race between Hare and Tortoise,275A,null,,,,
5c710154-bebe-46ee-a19c-3939532de875,The Faithless Sister,315,null,,,,
5caae103-4dc3-40cc-ab6b-2cf63b790ac4,The Two Travelers (Truth and Falsehood),613,null,,,,
5e1ef9f5-ae60-4478-ba50-a8402183b0e8,The Gardner and the Noble Family,null,Hans Christian Andersen,,,,
5e30830f-1a0b-4983-9ffd-39cd4239b236,One Thousand and One Nights,null,null,,,,
5e4073ab-23e4-4a3d-8ecf-e774c2dd7e56,The Land Where No One Dies,470B,null,,,,
5e625183-464a-48ac-9f85-12470551d672,Trouble to Teach,null,Lesya Ukrainka,,,,
5e688917-711d-4ef9-8bb3-1d99967f7969,Red Riding,null,David Peace,,,,
5effd1a7-b26d-439a-a53a-311cbdd983e7,The NeverEnding Story,null,Michael Ende,,,,
5fd4126d-bead-4b27-9dc0-6aa814e05f49,Little Claus and Big Claus,null,Hans Christian Andersen,,,,
6014fe8c-7195-4286-93be-8e62bcbd1e50,The Little White Horse,null,Elizabeth Goudge,,,,
601a1107-d17c-4adf-a596-77591b7091eb,The Bell,null,Hans Christian Andersen,,,,
6115f3f2-a6c0-4f11-8743-c791fd9441e1,The Cinderella Man,null,Edward Childs Carpenter,,,,
6154082d-0680-44d2-8faa-cecdb8357719,Dragon Rider,null,Cornelia Funke,,,,
617a4cfd-dcaf-40c4-98a9-3d388c7ca4a0,The Nightingale,null,Hans Christian Andersen,,,,
6361e1ff-75aa-4916-a429-5b6e5c026f08,The Fisherman and his Wife,555,null,,,,
63efc839-5e39-4746-ae4d-7111951fdf73,The Golden Pot,null,E.T.A. Hoffmann,,,,
640ff5f6-c924-4484-811a-93df1f274cc9,Little Red Riding Hood,333,null,,,,
648f569b-573c-491d-a6f4-c20f5f9d6bec,Hans in Luck,1415,null,,,,
64965c5a-6794-4ab8-b7dc-de50eb7fae92,null,null,E. Moshkovskaya,,,,
651884ee-ec25-4eea-a5af-152fa2f8a76a,A Wolf at the Door,null,null,,,,
6581282b-56b3-44c5-823f-6bc1a7be75c4,"Ugetsu monogatari, Tales of Moonlight and Rain",null,Ueda Akinari,,,,
65b38f6e-428c-460b-9de7-f2f0a410a70b,Metal Men against Gandahar,null,Jean-Pierre Andrevon,,,,
65e9aa64-2936-4d36-9302-3d45b9b75781,The Little Red Hen,null,null,,,,
66a08317-ee51-41d8-81c3-d1db54da79d4,The Healing Fruits,610,null,,,,
670e5587-0384-463c-bcfc-75c3f5195fec,null,null,Tonino Guerra,,,,
67997c91-3522-4e61-9358-7738da08a226,The Goat that Lied,212,null,,,,
679c35fe-1596-47e3-99a7-18dec85a3718,Tatsu no ko Taro,null,Miyoko Matsutani,,,,
681290ad-c6c4-4501-a053-6fb632a97fb0,null,null,Nikolai Gogol,,,,
6897b427-74f1-4dc0-afd0-e5699c3cd26c,Beastly,null,Alex Flinn,,,,
68996386-526b-4181-8620-4dd35bf929dd,The Lost Thing,null,Shaun Tan,,,,
68d23985-95ce-4833-bfba-939d96e0c7ea,Six Go through the Whole World,513A,null,,,,
68fe0477-2523-4d6f-ae5c-552ac6cd0b25,The Thief Lord,null,Cornelia Funke,,,,
690e6f6b-0a11-4395-b4a5-1233530e0c9d,"The Cold Heart, The Marble Heart",null,Wilhelm Hauff,,,,
69602411-58e2-4446-8849-c34cdefe5eda,The Gruffalo's Child,null,Julia Donaldson and Axel Scheffler,,,,
6a93bcd1-bb61-4020-83f9-b5c33e37b840,Midas and the Donkey's Ears,782,null,,,,
6b01ad1e-f257-4296-b5f5-0178bb9835b3,Kaguya Hime (The Tale of the Bamboo Cutter),null,null,,,,
6b4c7caf-333b-45f9-8863-e6782196a24b,Jack and Jill,null,null,,,,
6b527e1f-a3f1-4168-b2f8-d5a1b48ac071,Little Brother and Little Sister,450,null,,,,
