FilmGuid,CountryGuid
030745c0-d5a1-4473-ac69-2acf1f85497f,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
03375144-1b45-4d9e-9e9b-db7570e2e2a9,71eb741f-7b0b-4741-8b71-0835756a5a29
03375144-1b45-4d9e-9e9b-db7570e2e2a9,a3dd26b7-6955-46c8-846c-ef76047af098
03375144-1b45-4d9e-9e9b-db7570e2e2a9,bd238c01-9393-400a-b2ce-34cec2576594
03405ac8-e00a-4ea6-b042-23aefd036068,bd238c01-9393-400a-b2ce-34cec2576594
03436df5-b42d-463d-abcd-f5aedab747a5,bd238c01-9393-400a-b2ce-34cec2576594
034c0e0d-7d21-4f80-90d9-12803c3b5f91,71eb741f-7b0b-4741-8b71-0835756a5a29
034e72e2-a271-4735-85ec-44bcad378066,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
035f440f-2f73-4995-85d9-37dc34e01d6d,0772ec2d-5cc7-4db9-8aef-40250b4e0b3f
03612b69-3d67-4ef9-8847-91c61f2c98ad,38be140e-0c4e-4032-acf0-1dffd14fdcbe
0361f94c-3151-4bde-936b-2b063d58ab7b,bd238c01-9393-400a-b2ce-34cec2576594
03669dcf-4f5a-4efb-ae0b-c92bf86c9c91,71eb741f-7b0b-4741-8b71-0835756a5a29
03669dcf-4f5a-4efb-ae0b-c92bf86c9c91,e3ac0e2d-c468-489d-829e-d277bca57bfd
03669dcf-4f5a-4efb-ae0b-c92bf86c9c91,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
03703764-4a1f-4951-9c91-59f6844be76d,bd238c01-9393-400a-b2ce-34cec2576594
037fca67-92e2-4ce7-af61-20fe6cd285db,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
037fca67-92e2-4ce7-af61-20fe6cd285db,94bd1274-2592-4fdb-b2f3-90d262991072
03824ce5-a970-4219-9289-33e2bab3fcb3,aee86263-6898-469a-a84e-d8cdfc511ead
038fbff2-9663-4f44-94ed-959a2a830c53,472b46cd-7b5c-4a38-a422-7b14261083f9
039d4d4e-08d9-43b2-b67b-e0d07f756972,472b46cd-7b5c-4a38-a422-7b14261083f9
039e063d-f052-4a06-8bc5-340e579298e5,da00d41f-bdd3-48c5-915c-e9029ed7ddb5
039f2514-d8eb-4b87-8e5f-caed1e7e99f2,a3dd26b7-6955-46c8-846c-ef76047af098
039f2514-d8eb-4b87-8e5f-caed1e7e99f2,bd238c01-9393-400a-b2ce-34cec2576594
03a559c5-2065-420f-94c0-65a30ba394f5,bd238c01-9393-400a-b2ce-34cec2576594
03a73443-806f-418f-aae8-fe9762841534,bd238c01-9393-400a-b2ce-34cec2576594
03b3d9e6-88fa-4e09-af3a-c3ae01a8267f,10e1a5c8-8620-49e2-9b14-5e08477952f8
03b692c9-4c64-4d49-a4c6-52dcb73c8649,1e3d53e5-64e7-438d-95ac-4f3b6ddb99fe
03b692c9-4c64-4d49-a4c6-52dcb73c8649,bd238c01-9393-400a-b2ce-34cec2576594
03d3a702-b9ac-40a3-baf6-b58e153f9e34,1cad40f1-6a3a-4e4c-8921-77a700bd5557
03d3a702-b9ac-40a3-baf6-b58e153f9e34,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
03d88250-531c-4d32-b01b-8c4bac1572cf,bd238c01-9393-400a-b2ce-34cec2576594
03de7b10-47a1-4980-9aea-2a749d3297c3,71eb741f-7b0b-4741-8b71-0835756a5a29
03de7b10-47a1-4980-9aea-2a749d3297c3,ca8f68e0-6dc5-4ec1-8507-5c2ce60a7aaf
03e165e9-8d17-45f3-a60c-7a3689fcc7c7,054fd4a5-1131-4095-8f12-9f6096c3f46c
03e165e9-8d17-45f3-a60c-7a3689fcc7c7,bd238c01-9393-400a-b2ce-34cec2576594
03e4b8b7-7012-47c0-8702-00a6727f2a07,71eb741f-7b0b-4741-8b71-0835756a5a29
03ed42a6-2d47-437d-adcb-c505fbefd60b,a3dd26b7-6955-46c8-846c-ef76047af098
03fe5f2b-6dfe-4c0a-b296-ffe975e1d184,a3f48d3d-ec6e-47c1-aec5-322b525a24d4
0404e6b5-3e8a-4158-ad12-a6ebdf6dd987,1cad40f1-6a3a-4e4c-8921-77a700bd5557
0404e6b5-3e8a-4158-ad12-a6ebdf6dd987,ffab6e8c-4dd4-4bcc-ad22-bc46d5c14080
04102bf1-e244-4a3c-97de-c6ef870d8dc3,5998b5fc-e307-4f14-850a-836e280d7ddb
04102bf1-e244-4a3c-97de-c6ef870d8dc3,bd238c01-9393-400a-b2ce-34cec2576594
0410ac34-b463-43f3-a1da-441f9edfd20d,fca9eaa8-a10c-4230-819a-fa56446044ea
0415ba37-055b-4857-b4ac-cf5cdd576dea,bd238c01-9393-400a-b2ce-34cec2576594
041a0961-a00d-4a90-8d57-1aa7fa6630de,7b2c792f-e311-4c9d-b0e2-71ae7a090233
04228117-a0e9-4312-839f-4d5aba5d94a7,3ba1fc8f-967e-4165-a9b8-8d202b0e3bfe
04240a19-38a5-46c1-a5ec-ebd321dfa42f,a3dd26b7-6955-46c8-846c-ef76047af098
04244a90-8659-41bc-abc7-c93828257513,fca9eaa8-a10c-4230-819a-fa56446044ea
