CompanyId,FilmId
190,304
192,305
186,306
193,307
194,309
62,310
195,310
26,312
196,312
197,313
198,314
199,315
200,316
201,318
46,319
203,319
570,319
108,320
204,321
205,322
206,323
207,324
26,325
207,326
210,327
756,328
209,329
197,330
197,332
211,333
212,334
214,335
215,335
213,336
214,337
214,338
215,338
216,339
82,340
217,341
218,342
219,343
220,345
222,346
223,348
224,348
225,348
188,349
227,350
228,351
230,352
231,356
232,356
233,356
235,357
237,358
1367,358
1368,358
188,360
1028,361
4184,361
239,363
241,364
242,365
243,366
244,367
244,368
4022,369
123,370
123,371
245,373
246,377
4019,378
212,380
249,381
250,383
251,384
4013,385
252,386
253,387
254,388
252,389
39,391
255,392
257,395
259,396
260,397
261,398
42,399
262,400
263,401
212,403
264,404
39,405
265,406
269,408
270,408
266,409
267,409
268,409
271,410
272,411
245,413
273,414
67,415
274,416
211,417
275,418
277,419
278,420
4122,422
279,423
280,426
200,427
282,428
209,429
142,430
197,431
285,432
287,433
286,434
197,435
288,436
288,437
289,438
290,439
108,440
291,440
424,442
800,442
424,443
800,443
424,444
800,444
292,445
199,447
293,448
199,449
294,450
295,451
297,452
143,453
303,453
298,454
299,455
301,456
44,457
302,457
305,458
306,459
26,460
155,461
307,462
26,463
108,464
310,465
312,466
313,467
314,467
315,467
316,469
317,470
318,471
319,472
320,473
321,475
67,476
322,477
123,478
66,479
323,480
324,481
325,482
108,483
328,484
329,485
330,486
332,488
334,489
338,491
337,492
340,493
90,494
161,495
341,497
3931,498
197,500
287,501
343,502
344,503
245,504
345,505
346,506
347,508
272,509
245,510
348,511
349,512
350,513
351,514
344,515
288,516
345,517
217,518
352,519
245,520
201,521
353,522
354,523
354,524
355,525
67,528
357,529
156,530
26,531
196,532
211,532
360,533
3182,534
3949,535
261,536
801,537
317,538
197,539
197,540
362,541
272,542
363,543
365,544
2455,545
47,546
366,546
367,547
368,548
369,549
370,550
371,551
373,552
201,553
375,555
374,556
372,557
290,558
376,559
378,561
380,562
379,564
382,565
261,566
383,567
381,569
123,570
384,570
2681,571
197,573
385,574
386,576
291,577
387,578
320,580
108,581
244,581
123,582
389,583
388,584
390,585
372,586
26,587
2978,588
209,589
123,590
393,591
394,593
396,594
398,595
345,597
44,600
82,601
197,602
82,603
801,604
399,605
67,607
352,607
400,608
26,609
60,610
198,611
2453,612
401,613
402,614
403,615
404,615
405,616
198,617
291,617
108,618
320,619
294,620
254,622
406,623
63,624
372,625
407,625
199,626
408,627
209,628
409,629
410,629
199,630
199,631
411,632
67,633
412,634
123,635
108,636
63,637
155,638
199,639
254,639
254,640
254,641
199,642
199,643
254,644
202,645
202,646
203,647
203,648
202,649
202,650
203,651
203,652
413,653
202,654
414,655
415,656
416,657
417,658
498,659
2433,659
63,660
418,661
421,662
108,663
67,664
372,665
123,666
422,667
67,668
423,668
199,669
425,669
3179,669
424,670
800,670
424,671
800,671
40,672
188,672
188,674
100,675
108,676
427,677
422,678
428,679
608,680
430,681
228,682
209,683
294,683
3937,684
432,685
433,686
2538,687
435,688
436,689
30,690
143,691
303,691
438,692
298,693
439,694
394,695
440,695
442,697
363,698
142,699
444,700
174,701
