FilmId,CountryId
466,239
467,225
469,76
470,225
471,225
472,13
473,225
474,74
475,76
476,225
477,76
478,225
479,69
480,151
481,225
482,225
483,225
484,42
484,74
484,995
485,151
486,76
487,225
488,151
489,225
491,42
491,995
492,74
492,107
492,995
493,74
493,222
494,110
495,37
496,225
497,74
498,45
498,225
500,74
501,76
502,76
503,225
504,225
505,225
506,225
508,76
509,225
510,225
511,107
512,225
513,225
514,225
515,225
516,225
517,225
518,56
519,225
520,225
521,225
522,225
523,225
524,225
525,37
526,37
528,56
528,225
529,225
530,225
531,225
532,225
533,225
534,225
535,74
536,225
537,74
538,225
539,74
540,74
541,225
542,225
543,101
544,165
545,225
546,225
547,225
548,225
549,225
550,225
551,225
552,225
553,225
555,56
556,76
557,995
558,225
559,225
561,56
562,225
563,37
564,225
565,225
566,225
567,225
568,13
569,225
570,225
571,56
572,165
573,74
574,225
576,225
577,225
578,225
579,74
580,225
581,76
582,225
583,225
584,107
585,76
586,995
587,225
588,93
589,996
590,225
591,67
591,74
591,107
591,993
592,225
593,110
593,225
594,37
594,183
595,100
597,225
598,160
600,225
601,74
602,74
603,74
604,74
605,76
607,225
608,225
609,225
610,225
611,225
612,107
613,225
614,74
615,225
616,76
617,225
618,225
619,225
620,183
620,991
620,993
622,991
623,107
624,992
625,995
626,992
627,225
628,996
629,42
629,995
630,991
631,991
632,991
633,225
634,107
635,225
636,225
637,991
638,225
639,991
640,991
641,991
642,991
643,991
644,991
645,76
646,76
647,76
648,76
649,76
650,76
651,76
652,76
653,217
654,76
655,76
656,30
657,151
658,107
659,76
659,225
660,991
661,225
662,107
663,225
664,225
665,995
666,225
667,225
668,225
669,991
670,225
671,225
672,225
674,225
675,37
676,225
677,67
678,225
679,225
680,225
681,76
682,225
683,993
683,996
684,225
685,76
686,225
687,225
688,225
689,76
690,991
691,225
692,225
693,225
694,56
694,993
695,110
695,225
697,225
698,101
699,225
700,56
700,107
701,225
703,178
704,110
705,74
705,107
706,76
707,225
708,93
709,225
710,225
711,225
712,225
713,225
714,225
715,67
715,74
715,107
715,993
715,995
716,225
717,14
718,110
718,225
719,225
720,225
721,225
722,56
722,74
722,131
724,225
725,225
726,37
727,225
728,76
730,225
731,152
732,225
733,76
733,100
733,225
734,14
735,225
736,21
737,225
738,74
739,225
740,110
740,225
741,37
742,225
743,991
744,37
744,98
745,76
746,110
747,37
747,225
749,225
750,225
751,225
752,37
752,225
753,74
754,225
755,225
756,76
757,225
758,225
759,225
761,225
762,76
763,225
764,225
765,225
766,101
766,225
767,76
769,56
769,993
770,107
770,225
771,225
772,76
773,76
773,225
774,225
775,76
776,74
776,107
777,74
777,151
777,995
778,995
779,225
780,225
781,225
782,225
783,225
784,225
785,225
786,225
787,225
788,225
789,225
790,87
791,74
792,74
793,74
794,225
795,225
796,225
797,225
798,151
799,76
799,225
800,151
801,225
802,225
803,225
804,76
805,74
806,76
806,225
807,76
808,76
809,225
810,74
811,225
812,225
813,3
813,225
814,225
815,37
816,37
816,225
817,225
818,225
819,991
820,225
821,14
822,225
823,110
823,225
824,110
824,225
825,76
825,225
826,37
827,118
827,225
828,37
829,225
830,225
831,225
832,225
833,151
834,74
834,76
834,225
835,225
836,37
836,225
837,225
838,225
839,225
840,74
840,107
841,37
841,225
842,225
843,225
844,225
845,225
846,14
846,74
847,225
848,225
849,14
849,74
849,165
850,225
851,55
851,225
852,76
852,225
853,225
854,74
855,225
856,21
856,67
856,74
857,225
858,991
859,23
861,76
862,76
863,225
864,225
865,56
865,225
866,74
867,225
868,225
869,225
870,110
870,225
871,225
872,76
872,225
873,225
874,225
875,225
876,225
877,225
878,225
879,76
879,225
880,225
881,225
882,14
884,225
885,225
886,995
887,76
887,100
887,225
888,225
889,76
890,225
891,225
892,225
893,225
894,225
895,225
896,76
897,225
898,225
899,225
900,225
901,225
902,225
903,225
904,225
905,995
906,995
907,225
908,76
909,225
910,225
911,37
912,225
913,76
914,37
914,995
916,996
917,225
920,110
921,225
922,225
923,225
924,76
925,225
926,56
927,225
928,76
929,74
931,37
933,225
934,225
935,225
936,225
937,225
938,225
939,225
940,225
941,37
942,225
943,225
944,225
945,76
946,225
947,225
948,225
949,225
950,110
951,225
952,110
954,118
954,225
955,76
956,76
957,225
958,225
959,74
959,107
960,225
961,225
962,225
963,225
964,225
965,74
966,225
967,76
968,107
968,995
969,225
970,225
971,225
972,225
973,225
974,225
975,225
976,14
977,225
978,225
979,225
980,225
981,225
982,225
983,67
984,225
985,76
985,110
985,225
985,995
988,225
989,995
990,74
991,74
992,996
993,13
993,74
993,107
993,993
993,995
994,58
994,161
994,191
995,225
996,992
997,225
998,225
999,225
1000,101
1000,225
1001,225
1002,55
1002,56
1003,225
1004,14
1005,74
1006,37
1006,76
1007,225
1008,14
1008,37
1008,225
1009,225
1010,14
1010,76
1010,225
1011,76
1012,225
1013,225
1014,225
1015,56
1016,225
1017,225
1018,225
1019,225
1020,225
1020,995
1021,225
1022,225
1023,56
1023,74
1023,107
1023,225
1024,55
1024,56
1024,74
1024,76
1024,225
1025,56
1025,76
1025,225
1026,225
1027,225
1028,225
1030,118
1031,225
1033,225
1034,110
1035,225
1036,225
1037,225
1038,225
1039,76
1040,225
1041,225
1042,225
1043,225
1044,225
1045,225
1046,225
1047,225
1048,225
1049,225
1050,225
1051,225
1052,23
1052,225
1053,76
1054,225
1055,76
1056,225
1057,225
1058,76
1059,225
1060,225
1061,993
1061,995
1062,225
1063,14
1064,225
1065,225
1066,225
1067,225
1068,225
1069,225
1070,225
1071,225
1072,47
1072,93
1072,220
1073,37
1074,37
1075,37
1076,37
1077,37
1077,993
1078,225
1079,76
1080,225
1081,225
1082,37
1083,76
1084,225
1085,107
1086,991
1087,110
1087,160
1087,192
1087,995
1088,993
1089,23
1089,991
1090,74
1091,225
1093,225
1094,14
1094,37
1094,225
1095,225
1096,993
1097,225
1098,225
1099,991
1100,98
1100,225
1101,996
1102,225
1103,225
1104,76
1105,225
1106,225
1107,76
1108,991
1109,76
1110,225
1111,76
1112,58
1115,992
1117,56
1117,225
1118,992
1119,225
1120,56
1120,58
1120,74
1120,76
1120,100
1122,225
1123,993
1124,993
1125,993
1126,993
1127,993
1128,993
1129,993
1129,995
1130,993
1130,996
1131,993
1132,993
1133,993
1134,993
1135,993
1135,995
1136,13
1136,107
1136,993
1136,995
1137,993
1137,996
1138,13
1138,56
1138,993
1139,993
1139,995
