FilmId,LanguageId,FilmGuid,LanguageGuid
4724,51,bfa88084-89dc-4dc0-a107-344feca484a0,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4724,140,bfa88084-89dc-4dc0-a107-344feca484a0,deabd6e3-9c2d-4a79-afef-942da4b9550d
4725,51,3629e3a6-4afc-4edf-b2dd-489fca88037c,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4726,51,25476f59-cdf7-4c80-b3ec-7b9b820e21f1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4727,94,a50aae9f-e632-43b0-a49b-6e8a13ce0b88,25006cc4-a12b-4570-918f-78a97dca46a3
4728,40,5f1ba94e-a543-4e77-a448-b14ce2a6ad19,4fa23b9d-0f0a-49a5-848f-591e23711c37
4730,51,0b4f09e8-6f72-4a11-a837-f9ea21bfc38d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4731,112,c237c687-095f-4b29-bb27-b5b0aa63cf31,68cb3e51-ebdc-4355-bbff-0a3453a371f1
4732,51,bb801f01-589c-4712-a398-775f72b3214f,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4733,51,33b71c8d-01ae-40f1-b000-8fa5e5264c66,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4734,51,f644b552-a92b-4853-b087-aa5d50873615,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4735,51,f8d3f547-efe7-4e37-9731-1b80e3a59b62,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4736,35,ce16ea56-f112-4dc2-a775-aedf2b45be15,4e44d169-1292-4d6e-b5b9-fddc14fbbcdc
4737,51,e9a0e267-2d67-4b80-8152-8a83875b4b45,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4738,51,8b708e1c-a659-4d1b-8230-808a0cfccf89,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4739,139,5295b0db-6a41-4a2f-b083-305eb745af3d,2e5acb96-569b-439b-b810-4108d057b544
4740,154,85e45e8c-c6fb-4951-8be5-ff60706ebd8d,5f963f65-f5db-43e6-b210-ef4cfdaf8181
4741,51,101a15c4-6f7d-477b-a14e-d7a9229a0506,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4742,94,d1171253-5cf9-464c-b62e-7b59b0e1b6e0,25006cc4-a12b-4570-918f-78a97dca46a3
4743,94,5163a2a6-da00-4af2-a436-5a6ab37c4f36,25006cc4-a12b-4570-918f-78a97dca46a3
4744,137,04594c20-0a87-4a75-9d64-c1aa0945a4a3,3387e5b6-d36d-4475-8b34-e918249b7474
4745,51,ddd6294b-1114-4ad4-85da-18ecce51a88c,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4746,51,d65f8177-335b-46b8-bc52-aed1daf278f8,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4747,51,25f77dce-4b6d-4f73-ba52-c17c15a7d312,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4748,51,7d00e0c2-8312-4da6-8e8e-8836eccf0ce5,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4748,94,7d00e0c2-8312-4da6-8e8e-8836eccf0ce5,25006cc4-a12b-4570-918f-78a97dca46a3
4749,35,17d2826c-0680-4199-9b91-926de078641c,4e44d169-1292-4d6e-b5b9-fddc14fbbcdc
4750,40,c63da6d0-e984-41f6-a8e3-1342f32f03e0,4fa23b9d-0f0a-49a5-848f-591e23711c37
4751,123,10fe0cac-0786-4533-9f6f-13ffdae917c8,e282bd33-9620-400d-91e8-b974d12c0866
4752,137,d035a538-62a7-49f2-bb15-a7060f715d2b,3387e5b6-d36d-4475-8b34-e918249b7474
4753,51,7670dc48-69bd-493e-90a9-f36910254414,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4754,51,d8232467-88ef-4f27-b555-520f639c5d0c,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4755,137,7c34c337-b6ef-4383-a7e7-69b2978e1552,3387e5b6-d36d-4475-8b34-e918249b7474
4756,127,2879346a-2f26-4daf-aebc-26da3da152a6,a2ed7333-36c9-4d28-91d4-73b47b4e60fe
4757,51,add6b242-4416-4ad9-bd4f-e3fcacb10f86,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4758,137,74309399-8995-429b-8239-bc26c603559d,3387e5b6-d36d-4475-8b34-e918249b7474
4759,137,55d9ce54-939b-44db-b366-0c9ba7731573,3387e5b6-d36d-4475-8b34-e918249b7474
4760,94,5a374a1f-debd-44bf-b217-c6fd8eb5e3d4,25006cc4-a12b-4570-918f-78a97dca46a3
4761,137,2e1513b0-4881-4456-853f-b1701fcfb6cc,3387e5b6-d36d-4475-8b34-e918249b7474
4762,47,ce2a1831-c551-4b8f-a94d-41c47f171d1f,2872938c-9c70-477b-83c3-3fe8ba4abc89
4763,137,5c12cd60-e62f-41f0-8e58-3b690de7d064,3387e5b6-d36d-4475-8b34-e918249b7474
4764,155,60b84f9f-2e81-4b2d-b9b5-e9011e4dc811,fb5e00c5-7e54-42b7-8b65-192a0d87e0c1
4765,137,fe9fbada-9c08-4282-b68a-22fe5f1eabf5,3387e5b6-d36d-4475-8b34-e918249b7474
4766,47,d8732265-5dfd-4795-b1de-552a1e56da68,2872938c-9c70-477b-83c3-3fe8ba4abc89
4767,137,88208256-4a48-4152-97c0-7f9bea7a18e4,3387e5b6-d36d-4475-8b34-e918249b7474
4768,113,057cff3f-3bff-4e5a-93f5-06b2b5237ad5,dd7f7eb4-8ef6-47a5-bf4f-dba9a54d4a3b
4768,142,057cff3f-3bff-4e5a-93f5-06b2b5237ad5,942de002-9a05-4cd5-b3d3-10a7b5c58de5
4769,137,1dd81615-3d74-40cf-b59a-fe77a385b5e2,3387e5b6-d36d-4475-8b34-e918249b7474
4770,34,9b1ab84d-8c49-45da-babc-179ebf2030f7,db5c71e1-57ef-4e4d-b808-9c9c6d40f47f
4771,137,792a6307-0337-424c-ae3c-c3720e02b9b2,3387e5b6-d36d-4475-8b34-e918249b7474
4772,137,b15c2d3a-3387-4a1a-9362-afc3964e3152,3387e5b6-d36d-4475-8b34-e918249b7474
4773,51,de1858d4-e94f-4a86-b283-33abda8ff9b1,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4774,137,29bc5cb4-95a3-4ff2-905f-1691b2ce4805,3387e5b6-d36d-4475-8b34-e918249b7474
4775,51,15f78c79-b36d-4673-902f-d16c3f0255e8,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4776,51,14518a02-e6aa-42ac-9f4f-e3c4bc9e2090,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4777,51,99b0fb28-521c-4657-88b3-79d4ed831eef,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4778,40,06c5e952-ceb0-4613-8b95-0f6eb01f88cb,4fa23b9d-0f0a-49a5-848f-591e23711c37
4779,40,c4fb53b5-f159-4b52-888c-d4f75c9481d6,4fa23b9d-0f0a-49a5-848f-591e23711c37
4780,40,7ee37a73-d10c-4b47-b7f2-154d08ea48fd,4fa23b9d-0f0a-49a5-848f-591e23711c37
4782,109,5158af59-3306-4de4-b819-9cb1a497edb6,564888a3-9c45-45fe-a75d-22f142fe28c1
4783,137,4d833d23-ec60-453f-ac54-14e016cd33e9,3387e5b6-d36d-4475-8b34-e918249b7474
4784,51,62fc501c-6180-4082-98e1-e565149e4c51,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4785,51,eb5bba1d-28c7-4de6-a06a-b6c3e0271195,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4786,40,69942fde-7cd1-4446-ab12-69d8ab6885c0,4fa23b9d-0f0a-49a5-848f-591e23711c37
4787,51,a1f640bc-9521-4fdd-b105-13d1c315a464,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4788,51,6827058f-658c-4aef-abda-8e80671a28cb,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4789,51,0b2a855f-86c3-4c13-86da-13baf5ec83b4,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4790,51,b36100de-84d9-4644-b08e-0bec5511ab17,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4791,51,5ca2cb22-d5eb-411e-98f8-bb315e6bd079,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4792,51,61b9b67e-f6c1-4960-9752-74d44b6f25a5,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4793,156,4d471918-f518-43db-979a-ebff57e9e6a4,01426640-a226-410d-b31e-2e63260c27ba
4794,51,6601c951-0cf4-4e38-9285-37ab27889ac5,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4795,51,81ff2e6e-ca54-47b7-bdd2-c11c9e329bbf,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4796,51,7c4232ca-6345-491e-8ba2-ed0b1ccdf9a3,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4797,51,7413f5ef-bb97-4aed-b412-4c4c15383be3,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4798,26,6d721736-6d97-4dba-a34d-ae67e56e2a04,5db38fdd-3b64-4392-9002-ce7512bf3ceb
4800,51,865aefb7-06e8-4b01-af4a-534771c829ac,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4801,51,0f105bfa-6976-41fa-bf79-0d953f03752d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4802,51,bc105be9-8164-4eaf-85a8-d604772451a8,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4803,51,cdded253-874d-4b68-b713-cd085482cd94,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4804,51,a52255c0-0852-4758-91f4-25188de89510,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4805,51,94f4de9f-2a66-4d28-8923-8f9cb789f64b,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4805,55,94f4de9f-2a66-4d28-8923-8f9cb789f64b,270ebc71-de8e-476e-9eaf-4d3a9ac687da
4806,51,9ce44da9-8d17-4444-a71a-72fe0eab151d,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4807,51,3fa41504-33aa-47bb-aedc-78320a885057,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4808,137,0c03d0c7-0610-408e-af29-de2f79077e59,3387e5b6-d36d-4475-8b34-e918249b7474
4809,23,5faef38c-8e8c-4ded-994d-7aac181849d1,b933ec53-1f11-4e21-a043-67a2419ee067
4809,137,5faef38c-8e8c-4ded-994d-7aac181849d1,3387e5b6-d36d-4475-8b34-e918249b7474
4811,51,a6488987-797c-47ff-9054-d3da7d8816ea,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4812,27,85e2085e-c117-4261-b517-ab03c3ee0fcc,4f571464-c0f6-460c-a1f2-fd307f5fe744
4813,51,0252026a-e85c-4f30-ab04-15d8739e905a,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4814,139,3cfccb2d-ab6a-4fda-bfa0-59259806d72f,2e5acb96-569b-439b-b810-4108d057b544
4815,51,333190ee-4e18-483f-9b3f-d7866cdf656a,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4816,51,7bbd2251-81f7-409f-be9b-61bcf7f572b4,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4817,51,c0c30701-5444-45db-9b76-595ec8f2b304,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4818,139,15f30de1-d579-4959-823a-a6304c3bc8e2,2e5acb96-569b-439b-b810-4108d057b544
4819,51,6ea320c7-78a6-4389-989a-f7c42d1b746b,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4820,51,e29893fe-3fd1-4a92-8369-37630e71d469,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4821,51,48be855e-77e1-4811-b947-9901001c0110,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4822,51,f3f59853-a29d-459c-832b-3ee930fd4c00,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4823,51,b7b88585-731e-4229-abec-0298ba4bf88e,128ec9c0-9293-4d2f-bf04-855a76e8dbe0
4824,140,04a8b787-2a34-4820-b546-5d210ae748f7,deabd6e3-9c2d-4a79-afef-942da4b9550d
