LanguageId,Guid,Code,Name
127,a2ed7333-36c9-4d28-91d4-73b47b4e60fe,UR,Urdu
128,846904c7-46e8-42ca-919a-3c6ce92f09fe,UZ,Uzbek
129,45ed65c9-8447-4bc3-a522-f16ef2fa5618,VI,Vietnamese
130,d26bc3bb-0500-4dff-a027-65bb10e563ab,VO,Volapuk
131,b88ab421-e899-4555-b89c-a3bf85010f20,CY,Welsh
132,d04bf62f-6a29-4a4d-8e0f-0f5c16488ccd,WO,Wolof
133,64055e30-fdb2-4472-a7f9-5b5509d2b7f4,XH,Xhosa
134,b3cfa286-80f5-4540-a90b-cee2fd1999f4,JI,Yiddish
135,e874e877-c84b-43f6-8967-7b32ca68b1b4,YO,Yoruba
136,f67c5f8e-22e8-4ea3-96eb-36c56b2504a4,ZU,Zulu
137,3387e5b6-d36d-4475-8b34-e918249b7474,SL,Silent Film
138,a5be143c-038b-4661-9a23-3d71d40aa7d6,JE,Jamaican English
139,2e5acb96-569b-439b-b810-4108d057b544,CA,Cantonese
140,deabd6e3-9c2d-4a79-afef-942da4b9550d,MN,Mandarin
142,942de002-9a05-4cd5-b3d3-10a7b5c58de5,null,Filipino
143,1e8d4e14-7816-47e9-acf0-e07a5c99f00d,null,British Sign Language
144,e44a1d2f-d83d-48c2-a628-a6816cdb3e2d,null,Inuktitut
145,297d4d32-8572-402a-b355-667664ddfb76,null,Telugu
146,f1ab9e21-4ac3-4aa5-a379-e579cd9ff414,null,Bambara
147,79806a20-27dc-4236-8b30-f0631802e346,null,Fulah
148,76ed40d2-a1ae-47e3-8b1b-3cddefacf372,null,Yolngu Matha
149,faf4fae4-8299-4ac0-9fd6-b4b96ccac58f,null,Hawaiian
150,93a6a059-a0dd-480b-be21-80a4ed3002d4,null,Dzongkha
151,c8ba2a88-6e49-443e-a5fb-f8fcd754e549,null,American Sign Language
152,465088c0-d5dd-4b8e-b760-9a4a6ae2dcad,null,Pauline
153,a4cf7ca6-145e-4e3b-8799-0087fc708d0a,null,German Sign Language
154,5f963f65-f5db-43e6-b210-ef4cfdaf8181,null,Ladino
155,fb5e00c5-7e54-42b7-8b65-192a0d87e0c1,null,Sinhalese
156,01426640-a226-410d-b31e-2e63260c27ba,null,Bosnian
