FilmID,PersonID,RoleID
76,213,52
77,223,52
77,267,54
77,347,57
77,469,55
77,470,55
77,17836,55
77,17837,55
78,267,52
78,267,54
78,347,57
78,469,55
78,472,55
78,8663,55
78,25753,56
79,223,52
79,8663,55
80,213,52
80,267,54
80,325,56
80,347,57
80,469,55
80,470,55
80,471,55
80,472,55
80,578,55
81,213,52
81,267,54
81,267,55
81,347,57
81,21132,55
82,268,52
82,1001,57
83,206,54
83,217,52
83,217,56
83,257,52
83,292,56
83,293,56
83,294,56
83,354,57
83,407,54
83,543,55
83,544,55
83,545,55
83,546,55
83,547,55
84,205,56
84,232,52
84,232,56
84,289,56
84,365,57
84,382,58
84,383,58
84,410,54
84,503,55
84,504,55
84,505,55
84,506,55
85,183,56
85,243,52
85,243,54
85,243,56
85,359,57
85,360,57
85,396,58
85,430,54
85,536,55
85,584,55
85,585,55
85,586,55
85,587,55
85,700,57
85,13188,52
86,238,52
86,238,56
86,348,57
86,379,58
86,406,58
86,409,54
86,532,55
86,533,55
86,534,55
86,535,55
87,239,52
87,263,52
87,263,56
87,317,56
87,318,56
87,340,57
87,402,58
87,421,54
87,501,55
87,502,55
88,241,52
88,241,56
88,254,52
88,319,56
88,320,56
88,371,57
88,442,54
88,518,55
88,519,55
88,520,55
88,521,55
88,522,55
89,238,52
89,238,56
89,348,57
89,379,58
89,408,54
89,409,54
89,507,55
90,183,56
90,232,52
90,250,52
90,314,56
90,363,57
90,382,58
90,383,58
90,433,54
90,493,55
91,215,52
91,215,56
91,236,52
91,236,56
91,277,56
91,278,56
91,342,57
91,343,57
91,392,58
91,420,54
91,527,55
91,528,55
91,529,55
91,530,55
91,531,55
92,251,52
92,265,52
92,330,56
92,331,56
92,334,57
92,393,58
92,493,55
92,7284,55
92,13496,55
92,17647,55
93,256,52
93,256,54
93,256,56
93,338,57
93,403,58
93,474,55
93,475,55
93,476,55
93,477,55
93,478,55
94,209,52
94,209,56
94,247,52
94,286,56
94,8765,57
94,8766,54
95,225,52
96,261,52
97,246,52
98,261,52
98,345,57
98,469,55
98,578,55
99,228,52
99,302,56
99,303,56
99,368,57
99,411,54
99,469,55
100,204,52
100,228,52
100,228,54
100,290,56
100,368,57
100,578,55
100,1711,55
100,25514,55
101,211,52
101,313,56
102,204,52
102,204,56
102,368,57
102,511,55
102,669,54
102,3567,55
103,267,52
103,267,54
103,329,56
104,267,52
104,267,54
104,329,56
105,267,52
105,267,54
105,329,56
106,267,52
106,267,54
106,329,56
107,267,52
107,267,54
107,329,56
108,267,52
108,267,54
109,267,54
109,268,52
109,500,55
110,213,52
110,267,54
110,325,56
110,470,55
110,3415,55
110,5374,56
110,25606,57
111,213,52
111,267,54
111,279,56
111,347,57
111,469,55
111,470,55
111,471,55
111,472,55
112,602,52
112,602,56
112,603,54
112,603,56
