CompanyId,Name,Description123123
487,Frederic Golchan Productions,null
488,Les Productions La Fête Inc.,null
489,Incorporated Television Company,null
490,Toho Company,null
491,Clifford Werber Productions,null
492,DisneyToon Studios,null
493,Amuse Entertainment,null
494,Warner Premiere,null
495,CS2 Films,null
496,Dylan Sellers Productions,null
497,Halas and Batchelor Cartoon Films,null
498,Jim Henson Productions,null
499,Cannon Group,null
500,Enigma Productions,null
501,Goldcrest Films International,null
502,KIM Euromedia,null
503,Zweites Deutsches Fernsehen (ZDF),null
504,Figaro,null
505,Astra Film,null
506,Cinecittà,null
507,Caro-Film GmbH,null
508,United Artists,null
509,Enterprise Productions,null
510,Sanford,null
511,Klasky Csupo,null
512,Nickelodeon Animation Studio,null
513,YC Alligator Film,null
514,Tchin Tchin Productions,null
515,Steve Walsh Productions,null
516,SW7D Productions,null
517,Wish You Luck Productions,null
518,Kickstart Productions,null
519,Films Abel Gance,null
520,Walter Lantz Productions,null
521,Famous Studios,null
522,Clasa Films Mundiales,null
523,Galaxy Pictures Limited,null
524,Cinematográfica Filmex S.A.,null
525,Suevia Films - Cesáreo González,null
526,American Broadcast Corporation - Television,null
527,Francos Films,null
528,Mannic Film,null
529,Mannic Films,null
530,Parc Film,null
531,Granada Television,null
532,Procter & Gamble Productions (PGP),null
533,Stan Margolies Company,null
534,BBC Bristol,null
535,Bolex Brothers,null
536,La Sept,null
537,Honeycomb Animation,null
538,Wolfgang Cartoons for Carlton TV,null
539,Hyperion Pictures,null
540,Philippine Animation Studio Inc.,null
541,Bac Films,null
542,Centre National de la Cinématographie (CNC),null
543,The Oz Film Manufacturing Company,null
544,Chadwick Pictures Corporation,null
545,The Meglin Kiddies,null
546,United Productions,null
547,Film Laboratories of Canada,null
548,Henry Jaffe Enterprises Inc.,null
549,Childhood Productions,null
550,Cinetron,null
551,"Classic, A Division of Cinecom Corp",null
552,Ekran,null
553,Filmation Associates,null
554,Australian Film Commission,null
555,The Australian Film Commission,null
556,Count Features,null
557,Davis Equities Corporation Investment Partnerships,null
558,Motown Productions,null
559,Muller-Rosen Productions,null
560,Murakami Wolf Swenson,null
561,Alan Enterprises,null
562,BMI (No. 9) Ltd.,null
563,Oz Productions Ltd.,null
564,Silver Screen Partners II,null
565,CINAR,null
566,Walker Co.,null
567,American Film Investment Corporation,null
568,Lions Gate Films,null
569,Sony Wonder,null
570,The Jim Henson Company,null
571,Fox Television Studios,null
572,Imperadio Pictures Ltd.,null
573,Arau Films International,null
574,Lifetime Productions,null
575,Revolution Studies,null
576,Gladden Entertainment,null
577,Kuys Entertainment Group,null
578,Dreamland,null
579,CiBy 2000,null
580,Lorimar Film Entertainment,null
581,Productions Arys,null
582,Nix Films,null
583,Boyana Film,null
584,Lynchpin,null
585,Gabriel Pascal Productions,null
586,Constellation Entertainment,null
587,Lazennec Films,null
588,Strong Heart/Demme Production,null
589,Dimension Films,null
590,William Castle Productions,null
591,Castle Rock Entertainment,null
592,Rapid Hearts Pictures,null
593,American Playhouse,null
594,Robert Wise Productions,null
595,M & A,null
596,Tannhauser Pictures,null
597,Pyramid Productions,null
598,Industrial Motion Pictures,null
599,Lantana,null
600,Elkins Productions International Corporation,null
601,Suffolk Productions,null
602,Charming Productions Inc.,null
603,Fuzzy Door Productions,null
604,Media Rights Capital,null
605,Main Street Pictures,null
606,Century Film,null
607,Pied Piper Films of Toronto,null
608,Hanna-Barbera Studios,null
609,Pohland Produktion,null
610,Burton & Heinrichs Productions,null
611,DiC Enterprises,null
612,Saban Productions,null
613,Film Roman Productions,null
614,United Media,null
615,Lee Mendelson Productions,null
616,Greenlight Media AG,null
617,Hahn Film AG,null
618,Norddeutscher Rundfunk (NDR),null
619,HIT Entertainment Plc,null
620,Collingwood O'Hare Entertainment,null
621,Oxford Publishing Limited,null
622,Fidélité Productions,null
623,arte France Cinéma,null
624,StudioCanal,null
625,Majestic Film Partners,null
626,Rough Draft Studios,null
627,College of Art and Design,null
628,Kids Klassics,null
629,GoodTimes Home Video,null
630,Standard Photoplay Company,null
631,Exclusive Productions Inc.,null
632,King Features Syndicate,null
633,Gene Deitch Associates (GDA),null
634,Edward Small Productions,null
635,Film-Rite Inc.,null
636,Filmrite Productions,null
637,Group TAC,null
638,London Weekend Television,null
639,Wishbone Productions,null
640,Martin Gates Productions,null
641,Carrington Productions International,null
642,Rolf Kauka Film,null
643,Avalon Family Entertainment,null
644,National Broadcasting Company,null
645,Fox Children's Productions,null
646,Southern Star Productions,null
647,TMS Entertainment,null
648,Amblin Entertainment,null
649,TriStar Pictures,null
650,Shoot Productions,null
651,El Deseo S.A.,null
652,Egmont Imagination,null
653,A. Film,null
654,Magma Films Ltd. (I),null
655,Banana MedieEvent,null
656,Infa Filmproduktion,null
657,Clarge Distributors,null
658,Le Gemeaux S.A.,null
659,Les Films Paul Grimault,null
660,Les Films Gibé,null
661,Antenne-2,null
662,Ceskoslovenská televize Praha,null
663,Rai 2,null
664,Konsortiet H.C. Andersens Lange Skygge,null
665,Confetti Entertainment Company,null
666,Hyperion Animation,null
667,Two Oceans Entertainment Group,null
668,Torgovy dom Rus',null
669,United Productions of America (UPA),null
670,Razz Ma Tazz Entertainment,null
671,Michael Sporn Animation,null
672,Italtoons Corporation,null
673,WGBH,null
674,Mirofilm,null
675,Self Productions,null
676,Vieux Colombier Studios,null
677,Vivatoon,null
678,Walt Disney Animation Australia,null
679,New Media Entertainment LLC,null
680,Revolution Studios,null
681,Melampo,Cinematografica
682,Melampo Cinematografica,null
683,Fries Film Group,null
684,Blue Ridge Entertainment,null
685,The Archers,null
686,Fadsin Cinema Associates,null
687,Brown Fox Film,null
688,Bulgarian State Films,null
689,Argo Records,null
690,Kent Productions,null
691,20th Century Fox Television,null
692,FilmFair London Productions,null
693,Metro-Goldwyn-Mayer Television,null
694,Krátký Film Praha,null
695,Studio Jirího Trnky,null
696,TV 2000 Film- und Fernsehproduktions,null
697,Burbank Animation Studios,null
698,Holric Entertainment Group,null
699,INI Entertainment Group Inc.,null
700,Benedict Bogeaus Production,null
701,ERA International,null
702,Film Fair,null
703,Adelaide Productions,null
704,Columbia Tri-Star Television Animation,null
705,Mainframe Entertainment,null
706,Lee Mendelson Film Productions,null
707,Charles M. Schulz Creative Associates,null
708,United Media Productions,null
709,Animation Services,null
710,Gaumont-Alphanim,null
711,Flying Women Films,null
712,DC Comics,null
713,Voice Box Productions,null
714,Kinostudiya ''Mosfilm'',null
715,Apple,null
716,France 3 (FR 3),null
717,Les Productions Jacques Roitfeld,null
718,Playhouse Video,null
719,CBS/Fox,null
720,Loutkovy Film Praha,null
721,RUSCICO (Russian Cinema Council),null
722,Feature Films for Families,null
723,Pannónia Filmstúdió,null
724,Swan Animation,null
725,Deutscher Fernsehfunk (DFF),null
726,ABC Video,null
727,Mattress Productions Ltd.,null
728,Touchstone Television,null
729,Independent Producers,null
730,Televison Theatre Company,null
731,Wright Walker Productions,null
732,British Broadcasting Corporation (BBC),null
733,Lightyear Entertainment,null
734,Ventureworld Films,null
735,Jacob Jørgensen Film,null
736,Mat 1 Productions,null
737,Amberwood Entertainment,null
738,Intro,null
739,iDiC Entertainment,null
740,Wizart Animation,null
741,Inlay Film,null
742,Fine Arts Films,null
743,Det Danske Filminstitut,null
744,Disney Television France,null
745,Studio Umeleckých Filmu Praha,null
746,Zlatá kolekce českých filmů,null
747,Studio Hraných Filmov Bratislava,null
748,Omnia-Film,null
749,RAI Radiotelevisione Italiana,null
750,R.S.-Media,null
751,Ceská Televize,null
752,Artoko Filmproduction GmbH,null
753,Focusfilm Kft.,null
754,Komitet Kinematografii,null
755,Studio Filmowe Oko,null
756,VEB DEFA-Studio für Spielfilme,null
757,"Künstlerische Arbeitsgruppe ""Johannisthal""",null
758,Mongolkino,null
759,Belvision,null
760,Swallow,null
761,Omega Productions,null
762,Bavaria Film TV,null
763,Bavaria Film,null
764,International Film Company,null
765,Künstlerische Arbeitsgruppe ''Berlin'',null
766,Cartoons Cinematografica Italiana,null
767,Delta-Film Berlin,null
768,Münchner Marionettentheater,null
769,Sovexportfilm,null
770,Vidtronics,null
771,Apollo Film,null
772,James Pentecost Productions,null
773,Karz Entertainment,null
774,Walt Disney Television,null
775,Rai Fiction,null
776,Peter Pan Film Corp.,null
777,Stayer Studio,null
778,Roskomkino,null
779,Phil Nibbelink Productions,null
780,Herold and Family,null
781,MK2 Productions,null
782,France 3 Cinéma,null
783,Image Garden Productions,null
784,Mattel,null
785,Georges Méliès,null
786,Ashe Productions,null
787,Just Write,null
788,Rundfunk Berlin-Brandenburg,null
789,ANTAEUS Film und TV Produktion,null
790,Walt Disney Animation Studios,null
791,Walt Disney Pictures,null
792,Cricks & Martin Films,null
793,Poja Film,null
794,Les Films Marceau,null
795,CATIC,null
796,Schonger Film-Produktion,null
797,American Broadcasting Company,null
798,Screen Gems Television,null
799,Gosteleradio,null
800,Bullwinkle Studios,null
801,Star-Film,null
802,Messters Projektion GmbH,null
803,Deutsche Bioscop GmbH,null
804,Helen Gardner Picture Players,null
805,Lothar Stark-Film,null
806,Educational Pictures,null
807,Little Players' Film Company,null
808,Moser & Terry,null
809,Educational Films Corporation of America,null
810,Sokal-Film GmbH,null
811,Siriol Productions,null
812,Sianel 4 Cymru,null
813,Aboriginal Peoples Television Network,null
814,Igloolik Isuma Productions Inc.,null
815,Vicomte de Noailles,null
816,Ente Nazionale Industrie Cinematografiche,null
817,Produzioni De Sica,null
818,Koninck Studios,null
819,Lumen Films,null
820,21 Century Shengkai Film,null
821,Capgen Investment Group,null
822,China Film Group,null
823,Tanmarsh Communications Limited,null
824,Lions Gate Entertainment,null
825,ABC Video Enterprises,null
826,Topcraft,null
827,Les Armateurs,null
828,Odec Kid Cartoons,null
829,Monipoly Productions,null
830,Jet Media,null
831,Armada,null
833,"Production Co: Toei Animation Company, ",null
834,Production Co: Toei Animation Company,null
835,Cecchi Gori Group Tiger Cinematografica,null
836,Taurus Produktion,null
837,Vivi Film,null
838,Cartoon Saloon,null
839,DreamWorks Animation,null
840,Pacific Data Images (PDI),null
841,Société Radio-Canada,null
842,Canadian Broadcasting Corporation,null
843,Bio Illusion,null
844,At Armz,null
845,Nita Paley Productions LLC,null
846,Laugh-O-Gram Films,null
847,Comenius-Film GmbH,null
848,B.A. Filmproduktion,null
849,Brass Hat Films,null
850,Jerry Bruckheimer Films,null
851,Saturn Films,null
852,Diehl Brothers,null
853,Walt Disney Feature Animation,null
854,Pixar Animation Studios,null
855,Screen Novelties International,null
856,Screen Novelties,null
857,Hakuhodo,null
858,Nibariki,null
859,Tokuma Shoten,null
860,Nippon Television Network,null
861,Japan Airlines,null
862,La Fabrique,null
863,Studio O,null
864,Philips,null
865,George Pal Productions,null
866,Suomi-Filmi,null
867,Blinding Edge Pictures,null
868,Scott Rudin Productions,null
869,Universal Film S.A.,null
870,Gelma-Films,null
871,Alkam,null
872,Studio A,null
873,MTV Productions,null
874,Nomad,null
875,Nomad Films,null
876,CNCAIMC,null
877,Fondo de Fomento a la Calidad Cinematográfica,null
878,Grupo Del Toro,null
879,Sogepaq,null
880,Pat Sullivan Cartoons,null
881,DEFA-Studio für populärwissenschaftliche Filme,null
882,Bosustow Entertainment,null
883,American Mutoscope & Biograph,null
884,American Mutoscope Company,null
885,Kalem Company,null
886,Solax Film Company,null
887,Lubin Manufacturing Company,null
888,Keystone Film Company,null
889,Weiss Brothers Artclass Pictures,null
890,Robert Winkler Productions,null
891,Inkwell Studios,null
892,Danziger Productions Ltd.,null
893,Orphea Film,null
894,Misr Universal Cairo,null
895,Sphinx Films,null
896,Four-Leaf Productions,null
897,Mount Everest Enterprises Ltd.,null
898,Argosy Pictures,null
899,Armenfilm Studios,null
900,Excelsa Film,null
901,Fiaba Film,null
902,Playhouse International Pictures,null
903,Edward Lewis Productions,null
904,Les Films d'Ici,null
905,Uzbekkino,null
906,Telewizja Polska (TVP),null
907,Village Roadshow Pictures,null
908,The Zanuck Company,null
909,Little Bird,null
910,Majestic Films International,null
911,Te Maka Productions Inc.,null
912,Bear Island,null
913,Bert I. Gordon Productions,null
914,Baltimore Spring Creek Productions,null
915,Image Organization,null
916,Lance Entertainment,null
917,Malofilm Communications Inc.,null
918,Mainichi Broadcasting System,null
919,Nikkatsu,null
920,Taurus Film,null
921,Lacewood Productions,null
922,Hinton Animation Studios,null
